Speaker,Dialogue
fisher,"Whoa, Ike.  Getting a complex, buddy?"
ellie,"Fisher, let him talk."
ike," But one of those guys -- not one of them -- knew her at all.  Each one was convinced that she was perfect for them, but they didn't see her.  And she never showed up so they couldn't see her. It's a very symbolic thing happening. She becomes what she thinks they wanted to be."
fisher, Ike is turning sensitive and I can't bear to watch.  I'm going to make a fresh pot of tea.
ellie," Fisher, don't forget the fortune cookies."
ike,Is that what I did to you?  Is that what happened?  Did I just not see you?
ellie,"No.  No, you didn't."
ike," Well -- I'm sorry, I'm really sorry, Ellie."
ellie,"I'm sorry, too.  Wow.  That only took us between years to say."
lou trout,"Welcome to our annual country luau.  As you know, Betty and I got married on the rim of the crater, Diamond Head."
peggy,"Lighten up, wahine."
maggie,"Lighten up, what?"
peggy,This party is for you and Bob.  Get your mind off the reporter.
maggie,I haven't seen him in twenty-four hours. It just gives me the creeps a little bit. I'd feel better if I knew where he was.
peggy, Would it?
maggie, I like those grapes.
lou trout,"Hey, Mr. Graham, welcome to our luau. What can I get you?"
ike,You got something without a toy in it?
ike,Aloha.  That's a very fetching headdress you're wearing.
maggie,Where did you disappear to?
ike,"Missed me bad, huh?"
walter,"In the tradition that has grown through the years, it is now Toast Time!  First up, our host, ""A Honey of a Beekeeper"", Lou Trout.."
lout trout,May the groom's heart be filled with hopes and the bride's feet be filled with lead!
ted,May the back of the dress be as pretty as the front!
walter,"You know the old saying, ""You're not losing a daughter...""  Well, I'd like to!"
ike,"I don't know, give me a minute.  Are you all right with this?"
maggie,Excuse me?
ike,Are you all right with this?  You think this is funny?
maggie,Yes.
ike,I don't and I don't think you should...
bob,It's a joke.  They're kidding.
ike,You want me to make a toast?  Okay... I'll give you a toast.  To Maggie's family and friends.  May you find yourselves the bull's eye of an easy target.  May you be publicly flogged for all of your bad choices and may your noses to rubbed in all of your mistakes...
cory,"Hey, Bob.  I got twenty dollars bet on--"
bob,Not now.
peggy, Here.  She may need this.  It's not really Hawaii.
bob,Where'd Maggie go?
peggy,"Oh, she just went to get me something from the car."
ike,I'm the only goddamn person in there pulling for you.
maggie,You humiliated me!
ike,"No, Maggie, I defended you. Humiliating you is what everyone else is doing.  It's the theme of this party."
maggie,I had it under control.  Now they feel sorry for me.
ike,"Well, they should.  Because they're about to watch you hang yourself again."
maggie,It's fun!  It's high.
ike,Or the sexual habits of locusts?
maggie,That was very interesting research George was doing!
ike,What kind of Dead Head gets a temporary tattoo?
maggie,I already explained about that.
ike,And where you ever really going to run the leper colony in Molokai?
maggie, Brian told you that?
ike,Or maybe you just wanted to wear the headdress.
maggie,Every one of those times I was being supportive.  Something you won't understand.
ike,Supportive?  You weren't being supportive.  You were being scared. Just like now.  You are the most lost woman I have ever laid eyes on.
maggie,Lost!
ike,That's right.  You're so lost you don't even know how you like your eggs.
maggie,What!?
ike,"With the priest, you liked them scrambled.  With the Dead Head, fried. With the bug guy, poached.  Now it's egg whites only, thank you very much."
maggie,That's called changing your mind.
ike,"No, that's called not having a mind of your own.  What are you doing, Maggie? You really want to let that man drag you up Annapuma on your honeymoon?  You don't want to climb Annapuma."
maggie,Yes I do!
ike,No you don't.  You want a man who will lead you down the beach with his head over your eyes just so you can discover the feel of the sand under your feet. You want a guy who will take you into a cave with a thousand candles just to read you a poem.  You want a man to wake you up at dawn because he's burning to talk to you and he can't wait another minute to find out what you'll say.  Am I right?
maggie,"Stop.  Stop it!  I'm getting married on Sunday, and you're just trying to make me run!  Why?  Because you're a cynical, exploitative, mean-hearted creep who wouldn't know real love if it bit him in the armpit!  And all you do is tear other people down and-and-and laugh at them, and criticize what they do, because you're too afraid to do anything yourself!  I read your column. You never wrote one about you.  I'm not the only one who's lost and you know it! Am I right?  Well?  Am I right?"
bob,Mag.  Help me out here.  Green Bay. Right guard.
maggie,Yes.
bob,"Let me take you back inside, okay?"
maggie,Jerry Kramer.
cindy,"Tell me, why does Maggie need another wedding rehearsal and two days before the wedding?  She's already done this."
peggy,Bob is making her visualize the ceremony.
bob," Okay, we're ready.  Want me to have Ike leave now?"
maggie,"No.  No -- Actually, let's make Ike the pastor."
ike,I'd rather not.
maggie, Hey.
bob,"Team effort, Pastor Ike... Cindy, ready?  Cindy, come on."
peggy,He's going to be the pastor?
maggie,Yep.  I want him to be front and center and to watch everything.
peggy,What happened at the luau?
maggie, What's this?
peggy,It's for the bell.
cindy,Bob's in a hurry.
peggy,"Don't be nervous, Maggie.  Let us visualize.  Remember what Bob said? ""Be the ball."""
cindy,"""Sink the putt."""
peggy,"""Make the shot."""
cindy,"""Nothing but net."""
peggy,"""Never say die."""
maggie,Go!
bob,"Honey, are you okay?"
ike," At this pace, it could be an evening wedding."
bob,Hold it!  Hold it!  I think we're taking this too fast.
maggie," Yes, I'm spiraling through the air."
bob,"Okay, I'm the pastor.  Dearly beloved, blah, blah, blah.  So on and so forth. Ra ta ta ta.  Yabada dabada.  I now pronounce you man and wife.  Kiss the bride, badum dum.  We have the crescendo that leads to us right back down the aisle and out the..."
ike," I'm sorry, Bob.  She kissed me back."
maggie, I kissed him back.
bob,"Yeah, I caught that.  Want to tell me how long this has been going on?"
maggie,About a minute...?
ike,A little longer for me.
maggie,Really?
bob,What do you expect me to say to this?
ike,"How about -- ""I hope you'll be very happy together""?"
bob,I hope you'll be very happy together.
maggie, Take care of him.
maggie,"Bob, I'm sorry!  At least I backed out before the wedding.  That's progress!"
peggy,"Well, Maggie -- in the words of Mrs. Pressman: ""Holy moly"".  Call me later."
maggie,"Okay.  So... what, uh... What just happened?  Just now?  Jus then?  In there?"
ike,"I don't know.  I, uh -- I frankly don't even want to talk about it."
maggie,"Me, either."
ike, I love you.  I love you.
maggie," I love you, too."
ike,Wait.  We have to talk.  We have to do some talking now.  Pull up a railing.
maggie,To who?  Are you asking me?
ike,Me?
maggie,"Yes, you!"
ike," Well, you do have the dress."
maggie,And the church.
ike,"And the wedding date.  There's the two of us.  So, you think... maybe... You have to go down the aisle with somebody you love and who love you back."
maggie,I'm okay with that.
ike,So am I.
maggie,"So, we'll..."
ted,Good night.
ike,I'm getting married.
ellie,Ike's going to get married.
cindy,I love his eyes.  I just believe they're listening to you.
peggy,His hair... any color.
grandma julia,I like his tight butt.
maggie,Grandma!
peggy," See, this is a mature relationship. She's really found it."
meredith,"The turnout for this morning's wedding is usually reserved for royalty or Hollywood stars, but Maggie Carpenter is Hale, Maryland's special star and the citizens of Hale are out in full force today."
maggie, He's not coming.  Watch.  He's not coming.
peggy,"No, no.  I saw eight geese flying in a ""V""."
maggie,You and your lucky geese.  You always see geese.
peggy,Not eight...
cindy,"And in a ""V""."
maggie,"Eight is good... ""V"" could be Victory."
cindy,Rub your ears.
peggy,"Yes, rubbing your ears is very soothing. Cory does that to me when I hyperventilate."
cindy,We do it to our dog.
maggie,It's hurting.
cindy,We'll rub.
peggy,He's here!  He's here!
cindy,I'll get the dress.
maggie,He's here!... He's here!
peggy,"Now's the time for calm... If you don't calm down, you won't get your dress on...  He's the one... He's the one."
maggie,This is not a good sign.
cindy,We have to hurry.  The Sunday School kids will be here soon.
julie murphy,"Well, the groom just pulled up.  There was talk of a ""now show"", but he is here."
dina napoli,Ike Graham is here!
ike,Shoot ours so she has one with an ending.
ike,"No, I'm not."
ike,Friends.  Thank you.  Thank you.
fisher, Of course we are.  Of course.
ike,Then you'll be my best man.
fisher,"Well, I'm good, I don't know if I'm best."
ike,Go talk to the pastor and he'll tell you what to do.  And someone will tell me what to do.
ellie,"You always looked great in that suit... And Ike?  I'm happy for you, honey."
bob,You look awful.
ike, Thank you.
bob,Ike.  Need help?
ike,Really?
bob,I didn't want to find out I wasn't for her in the fourth quarter.
ike,Got any last minute advice?
bob, Maintain eye contact.
ike, Eye contact.  Eye contact.
fisher, I have no idea what I'm doing.
ike,Your job is... the ring.  Do you have the ring?!
fisher,I just found out I'm best man!  I'm lucky I have a suit... What's wrong?
ike,Thank you.
fisher,Hello.  I'm Fisher.
fisher,You just pull a hair from my neck.
ike,"Mrs. Trout, go back to your seat!"
grandma julia,"Good luck, Maggie."
maggie,"Thank you, Grandma."
walter, I'm really rooting for this one.
maggie,"Thank you, Dad."
cindy,Spit.
peggy,Let's go.
maggie,No sauntering down the aisle.  Just make time.  Let's just get there.
elaine,"Hi, I'm Elaine from New York."
bob,"Hello.  I'm Bob, Maggie's fourth attempt."
elaine,I'm sorry.
bob,"That's okay.  There's a lid for every pot.  Besides, I'm comfortable with Ike. I mean, Jack Dempsey lost his heavyweight title to a New Yorker."
elaine,I know.  Gene Tunney.
dennis,"They're ready, Maggie."
maggie,Just a second.
ike, Block the doors!
maggie,"There's a man coming down those steps with lots of candy in his pockets.  If you tickle him, he'll give candy."
ike,Maggie!
ike,Maggie!
ellie,"Look, he's running after her."
fisher,"Look, he's in pretty good shape."
ellie,Poor Ike.
ike, Maggie!
ellie,Where do you think she's going?
fisher,"Wherever it is, she'll be there by ten- thirty tomorrow."
ike,Maggie!
peggy,You okay?  I'm closing.
maggie,"I'm just finishing up, too."
peggy,Want to go to Butch's for a drink or something?
maggie," No, I'm just going to head home."
peggy,Okay.
maggie,What are you talking about?
peggy,Wedding.  Wedding.  You just have to get the rest of your ducks in a row.
maggie,Thank you.  You still think that he was....
peggy,Quick.  Very quick.
voice," Marry me, Maggie."
maggie," Hi, Dennis."
dennis,"I am going to propose, you know.  I mean, the right way.  Soon as I turn eighteen."
maggie,"You're sweet, Dennis.  But you've got to go.  I'm closing up.  Here's a candy bar and one for your brother."
dennis,I'm not giving up.   A person shouldn't give up.
walter,That's Maggie.  Home for lunch.
grandma julia,She's been doing this since the last wedding.  I don't think it's good.
maggie,"Hey.  Grandma, what's for lunch?"
grandma julia,Turkey and cheese.
walter,"Honey, your grandmother and I were thinking about opening a wedding gift museum."
maggie,STOP!
walter,What?
maggie, Just stop it.  Don't say another word like that.
walter," Maggie, it's just a joke..."
maggie,No.  It's my life.
walter,A harmless joke.
maggie,"No, it's humiliating and you've been doing it since I was a kid.  I don't like it.  Stop.  You may not like having a daughter with problems.  But guess what?  I don't like having a father who's drunk all the time.  I'll eat in my room."
grandma julia,"That needed to be said.  You know -- you're always making jokes about her, so they won't make jokes about your drinking."
maggie,I need a plan... A plan to life... What would Bruce Lee do?  He'd kick some ass...
maggie,"Hello, Ike."
ike,Don't tell me.  My doorman is one of your many admires... I knew I should have given him a better Christmas gift.
maggie,I've been making friends with your cat.  Is it okay that I'm here?
ike,"I don't have much choice in the matter now, do I?  But I can't speak for Italics.  Traitor!"
maggie,I don't blame you for being mad...
ike,"Livid is good.  So what is it, Maggie? You here on business?  I saw your lamps. They're terrific."
maggie,It's something I've always wanted to do.
ike,"You actually could make breaking and entering into a new career.  So, what are you doing here?"
maggie,I wanted to talk to you about why I run or ride away from things.
ike, Does it matter?
maggie,"I think so... When I was walking down the aisle?  I was  walking toward somebody who didn't have any idea who I really was.  And it was only half the other person's fault, because I had done everything to convince him that I was exactly what he wanted.  So it was good that I didn't go through with it because it would have been a lie, but you -- you knew the real me."
ike,"Yes, I did."
maggie,I didn't.  And you being the one at the end of the aisle didn't just fix that.
ike,"No, I couldn't fix anything...  But I still ended up chasing a truck."
maggie,"I understand why you bring up the truck. Let me explain something.  The fact is, you've seen me at my worst, most embarrassing, deviously plotting, potentially but not certifiably, psychotic state.  And if you liked me then, I mean, now... I can't imagine...  Benedict."
ike,Should I be writing this down?
maggie,These are for you.
ike,Used?
maggie,They're mine.  I'm turning in my running shoes to you.
ike,This is getting serious.
maggie,And one more thing.  I know it's hard to believe there could be more.  Um...
ike, Oh my God.  No.
maggie,"No, no -- don't hide your face, this only happens once in a lifetime.  It's definitely a first to me, and you're not going to want to miss it."
ike,"Maggie, I gotta think about this a little bit."
maggie, Good.
ike, You were not.
maggie,"I was, because if you said ""yes"" right away, I wouldn't get to say this next part.  And I've been practicing it.  Ready?"
ike,I'm listening.
maggie," ""I guarantee that we'll have tough times.  I guarantee  that at some point one or both oof us will want to get out. But I also guarantee that if I don't ask you to be mine, I'll regret it for the rest of my life. Because I know in my heart -- you're the only one for me""."
ike,"Pretty good speech, Maggie."
maggie,I borrowed it from this guy I know. So?
ike,Dance with me.
